City,City,Country,Lat,Lng,Humidity,Hotel
0,avarua,CK,-21.2078,-159.775,78,Paradise Inn
1,hell-ville,MG,-13.4,48.2667,78,ABUD HOTEL
2,san luis de la loma,MX,17.2706,-100.8939,72,No hotel found
3,bumba,CD,2.1833,22.4667,49,Hotel Bumba
4,beau vallon,MU,-20.4189,57.6953,78,Le Jardin de Beau Vallon
5,hawaiian paradise park,US,19.5933,-154.9731,76,No hotel found
6,touros,BR,-5.1989,-35.4608,61,Pousada Atlântico
7,prado,BR,-17.3411,-39.2208,67,Pousada Recanto do Prado
8,kingston,JM,17.997,-76.7936,59,Aphrodite Hotel
9,afaahiti,PF,-17.75,-149.2833,76,Omati Lodge
10,san antonio de pale,GQ,-1.4014,5.6325,77,No hotel found
11,tazacorte,ES,28.629,-17.9293,52,App Leyma
12,guadalupe,MX,25.6833,-100.25,51,Hotel Ejecutivo
13,holualoa,US,19.6228,-155.9522,66,Kona Hotel
14,valparaiso,CL,-33.0393,-71.6273,66,Ibis Hotel
15,kollo,NE,13.3043,2.339,18,No hotel found
16,taoudenni,ML,22.6783,-3.9836,15,No hotel found
17,tsiombe,MG,-25.3,45.4833,76,No hotel found
18,arlington,US,32.7357,-97.1081,34,Parkway Inn
19,tolanaro,MG,-25.0319,46.9987,78,Hôtel Mahavokey
20,san pedro pochutla,MX,15.7333,-96.4667,43,Olimpia
21,sao jose da coroa grande,BR,-8.8978,-35.1478,71,Hotel do Sol
22,souillac,MU,-20.5167,57.5167,78,Hotel SkylineInn
23,sao vicente,BR,-23.9631,-46.3919,57,Pousada Vitória
24,portel,BR,-1.9356,-50.8211,77,No hotel found
25,el nido,PH,11.1858,119.3956,79,Dragonfly
26,hilo,US,19.7297,-155.09,73,Dolphin Bay Hotel
27,port isabel,US,26.0734,-97.2086,70,Queen Isabel Inn
28,mora,CM,11.0461,14.1401,19,Hôtel Podoko
29,carauari,BR,-4.8828,-66.8958,68,No hotel found
30,namibe,AO,-15.1961,12.1522,78,Nelsal Pensao
31,santa elena de uairen,VE,4.6167,-61.1333,52,Posada Villa Fairmont
32,san patricio,US,28.017,-97.5169,58,No hotel found
33,cabo san lucas,MX,22.8909,-109.9124,65,Comfort Rooms
